,missing_count,missing_rate
DEF_60_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
EXT_SOURCE_2,660,0.0021462646864665006
AMT_GOODS_PRICE,278,0.0009040327012692228
goods_credit_ratio,278,0.0009040327012692228
AMT_ANNUITY,12,3.9022994299390916e-05
annuity_income_ratio,12,3.9022994299390916e-05
CODE_GENDER,4,1.3007664766463638e-05
CNT_FAM_MEMBERS,2,6.503832383231819e-06
DAYS_LAST_PHONE_CHANGE,1,3.2519161916159095e-06
SK_ID_CURR,0,0.0
TARGET,0,0.0
NAME_CONTRACT_TYPE,0,0.0
FLAG_OWN_CAR,0,0.0
FLAG_OWN_REALTY,0,0.0
CNT_CHILDREN,0,0.0
AMT_INCOME_TOTAL,0,0.0
AMT_CREDIT,0,0.0
NAME_INCOME_TYPE,0,0.0
NAME_EDUCATION_TYPE,0,0.0
NAME_FAMILY_STATUS,0,0.0
NAME_HOUSING_TYPE,0,0.0
REGION_POPULATION_RELATIVE,0,0.0
DAYS_BIRTH,0,0.0
DAYS_REGISTRATION,0,0.0
DAYS_ID_PUBLISH,0,0.0
FLAG_MOBIL,0,0.0
FLAG_EMP_PHONE,0,0.0
FLAG_WORK_PHONE,0,0.0
FLAG_CONT_MOBILE,0,0.0
FLAG_PHONE,0,0.0
FLAG_EMAIL,0,0.0
REGION_RATING_CLIENT,0,0.0
REGION_RATING_CLIENT_W_CITY,0,0.0
WEEKDAY_APPR_PROCESS_START,0,0.0
HOUR_APPR_PROCESS_START,0,0.0
REG_REGION_NOT_LIVE_REGION,0,0.0
REG_REGION_NOT_WORK_REGION,0,0.0
LIVE_REGION_NOT_WORK_REGION,0,0.0
REG_CITY_NOT_LIVE_CITY,0,0.0
REG_CITY_NOT_WORK_CITY,0,0.0
LIVE_CITY_NOT_WORK_CITY,0,0.0
ORGANIZATION_TYPE,0,0.0
FLAG_DOCUMENT_2,0,0.0
FLAG_DOCUMENT_3,0,0.0
FLAG_DOCUMENT_4,0,0.0
FLAG_DOCUMENT_5,0,0.0
FLAG_DOCUMENT_6,0,0.0
FLAG_DOCUMENT_7,0,0.0
FLAG_DOCUMENT_8,0,0.0
FLAG_DOCUMENT_9,0,0.0
FLAG_DOCUMENT_10,0,0.0
FLAG_DOCUMENT_11,0,0.0
FLAG_DOCUMENT_12,0,0.0
FLAG_DOCUMENT_13,0,0.0
FLAG_DOCUMENT_14,0,0.0
FLAG_DOCUMENT_15,0,0.0
FLAG_DOCUMENT_16,0,0.0
FLAG_DOCUMENT_17,0,0.0
FLAG_DOCUMENT_18,0,0.0
FLAG_DOCUMENT_19,0,0.0
FLAG_DOCUMENT_20,0,0.0
FLAG_DOCUMENT_21,0,0.0
DAYS_EMPLOYED_ANOMALY,0,0.0
credit_income_ratio,0,0.0
