column,lower_p01_train,upper_p99_train,train_skewness,suggested_action,fit_split
ELEVATORS_AVG,0.0,0.48,3.845970326222455,winsorize_if_model_requires; not applied to engineered CSV,train
ENTRANCES_AVG,0.0345,0.4138,3.624960010610091,winsorize_if_model_requires; not applied to engineered CSV,train
FLOORSMAX_AVG,0.0208,0.625,2.303451996545189,winsorize_if_model_requires; not applied to engineered CSV,train
FLOORSMIN_AVG,0.0417,0.625,2.1708918632912995,winsorize_if_model_requires; not applied to engineered CSV,train
LANDAREA_AVG,0.0,0.2677,7.245231228267966,winsorize_if_model_requires; not applied to engineered CSV,train
LIVINGAPARTMENTS_AVG,0.0067,0.3219,5.996149750655914,winsorize_if_model_requires; not applied to engineered CSV,train
LIVINGAREA_AVG,0.0041,0.4441,4.395646700160734,winsorize_if_model_requires; not applied to engineered CSV,train
NONLIVINGAPARTMENTS_AVG,0.0,0.0386,27.846870546160623,winsorize_if_model_requires; not applied to engineered CSV,train
NONLIVINGAREA_AVG,0.0,0.20664400000000024,9.784014201756209,winsorize_if_model_requires; not applied to engineered CSV,train
APARTMENTS_MODE,0.0042,0.4370000000000001,4.23380152740218,winsorize_if_model_requires; not applied to engineered CSV,train
BASEMENTAREA_MODE,0.0,0.30424400000000024,5.708406825429802,winsorize_if_model_requires; not applied to engineered CSV,train
YEARS_BEGINEXPLUATATION_MODE,0.9568,0.998,-21.00527016958733,winsorize_if_model_requires; not applied to engineered CSV,train
YEARS_BUILD_MODE,0.5622,0.9673,-1.8482280658280905,winsorize_if_model_requires; not applied to engineered CSV,train
COMMONAREA_MODE,0.0,0.1954,10.356027710806233,winsorize_if_model_requires; not applied to engineered CSV,train
ELEVATORS_MODE,0.0,0.4834,4.004575437110116,winsorize_if_model_requires; not applied to engineered CSV,train
ENTRANCES_MODE,0.0345,0.4138,3.5434815268906785,winsorize_if_model_requires; not applied to engineered CSV,train
FLOORSMAX_MODE,0.0,0.625,2.3118027100970164,winsorize_if_model_requires; not applied to engineered CSV,train
FLOORSMIN_MODE,0.0417,0.625,2.117100002503922,winsorize_if_model_requires; not applied to engineered CSV,train
LANDAREA_MODE,0.0,0.2695,7.098483324705117,winsorize_if_model_requires; not applied to engineered CSV,train
LIVINGAPARTMENTS_MODE,0.0073,0.3456960000000021,5.767551660161883,winsorize_if_model_requires; not applied to engineered CSV,train
LIVINGAREA_MODE,0.0035,0.4539,4.470511664179293,winsorize_if_model_requires; not applied to engineered CSV,train
NONLIVINGAPARTMENTS_MODE,0.0,0.0389,29.12426691950068,winsorize_if_model_requires; not applied to engineered CSV,train
NONLIVINGAREA_MODE,0.0,0.2085,9.685986456430747,winsorize_if_model_requires; not applied to engineered CSV,train
APARTMENTS_MEDI,0.0042,0.4445,4.1417421303394635,winsorize_if_model_requires; not applied to engineered CSV,train
BASEMENTAREA_MEDI,0.0,0.29614400000000024,5.811734908258716,winsorize_if_model_requires; not applied to engineered CSV,train
YEARS_BEGINEXPLUATATION_MEDI,0.9578,0.998,-22.138427997746213,winsorize_if_model_requires; not applied to engineered CSV,train
YEARS_BUILD_MEDI,0.5572,0.9665,-1.6999703230276937,winsorize_if_model_requires; not applied to engineered CSV,train
COMMONAREA_MEDI,0.0,0.20274400000000023,10.050408359709115,winsorize_if_model_requires; not applied to engineered CSV,train
ELEVATORS_MEDI,0.0,0.48,3.871879932968257,winsorize_if_model_requires; not applied to engineered CSV,train
ENTRANCES_MEDI,0.0345,0.4138,3.5998915991044655,winsorize_if_model_requires; not applied to engineered CSV,train
FLOORSMAX_MEDI,0.0208,0.625,2.3188295490115847,winsorize_if_model_requires; not applied to engineered CSV,train
FLOORSMIN_MEDI,0.0417,0.625,2.1759621605888166,winsorize_if_model_requires; not applied to engineered CSV,train
LANDAREA_MEDI,0.0,0.27203200000000066,7.082425837076293,winsorize_if_model_requires; not applied to engineered CSV,train
LIVINGAPARTMENTS_MEDI,0.0068,0.3275,5.904747329767271,winsorize_if_model_requires; not applied to engineered CSV,train
LIVINGAREA_MEDI,0.0041,0.4521,4.3895997043136115,winsorize_if_model_requires; not applied to engineered CSV,train
NONLIVINGAPARTMENTS_MEDI,0.0,0.0388,28.13280185146383,winsorize_if_model_requires; not applied to engineered CSV,train
NONLIVINGAREA_MEDI,0.0,0.2082320000000007,9.710715546475079,winsorize_if_model_requires; not applied to engineered CSV,train
TOTALAREA_MODE,0.0026,0.4383880000000005,4.2314998160451545,winsorize_if_model_requires; not applied to engineered CSV,train
OBS_30_CNT_SOCIAL_CIRCLE,0.0,10.0,15.645199699287511,winsorize_if_model_requires; not applied to engineered CSV,train
DEF_30_CNT_SOCIAL_CIRCLE,0.0,2.0,5.769683542584421,winsorize_if_model_requires; not applied to engineered CSV,train
OBS_60_CNT_SOCIAL_CIRCLE,0.0,10.0,15.552370305611543,winsorize_if_model_requires; not applied to engineered CSV,train
DEF_60_CNT_SOCIAL_CIRCLE,0.0,2.0,5.659672223375984,winsorize_if_model_requires; not applied to engineered CSV,train
DAYS_LAST_PHONE_CHANGE,-3145.0,0.0,-0.7103481079370085,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_2,0.0,0.0,175.352298437881,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_3,0.0,1.0,-0.923825733919031,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_4,0.0,0.0,109.34298757932193,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_5,0.0,1.0,8.008558109995619,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_6,0.0,1.0,2.901172504843204,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_7,0.0,0.0,70.73221805150125,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_8,0.0,1.0,3.0626727006764374,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_9,0.0,0.0,15.67074111097264,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_10,0.0,0.0,231.97413645935484,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_11,0.0,0.0,15.962464084951556,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_12,0.0,0.0,328.0655422107954,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_13,0.0,0.0,16.864162555652854,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_14,0.0,0.0,18.344746555511612,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_15,0.0,0.0,28.666219321333454,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_16,0.0,0.0,9.872081043669247,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_17,0.0,0.0,61.97522723239264,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_18,0.0,0.0,10.984065621411151,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_19,0.0,0.0,41.6289355715452,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_20,0.0,0.0,44.81937256148607,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_DOCUMENT_21,0.0,0.0,55.03481874758613,winsorize_if_model_requires; not applied to engineered CSV,train
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0.0,15.807391888392273,winsorize_if_model_requires; not applied to engineered CSV,train
AMT_REQ_CREDIT_BUREAU_DAY,0.0,0.0,28.713510429648057,winsorize_if_model_requires; not applied to engineered CSV,train
AMT_REQ_CREDIT_BUREAU_WEEK,0.0,1.0,9.523866389770838,winsorize_if_model_requires; not applied to engineered CSV,train
AMT_REQ_CREDIT_BUREAU_MON,0.0,4.0,8.294182882976811,winsorize_if_model_requires; not applied to engineered CSV,train
AMT_REQ_CREDIT_BUREAU_QRT,0.0,2.0,159.36140376528235,winsorize_if_model_requires; not applied to engineered CSV,train
AMT_REQ_CREDIT_BUREAU_YEAR,0.0,8.0,1.4527561883034321,winsorize_if_model_requires; not applied to engineered CSV,train
DAYS_EMPLOYED_ANOMALY,0.0,1.0,1.65945976209325,winsorize_if_model_requires; not applied to engineered CSV,train
credit_income_ratio,0.598078774832237,13.043478260869565,1.8607623730884266,winsorize_if_model_requires; not applied to engineered CSV,train
annuity_income_ratio,0.039262881720430055,0.483,1.506225484869015,winsorize_if_model_requires; not applied to engineered CSV,train
goods_credit_ratio,0.6778741865509761,1.0,3.3019935208340163,winsorize_if_model_requires; not applied to engineered CSV,train
employment_age_ratio,0.008070131832781244,0.5793997146526008,1.6179793418227928,winsorize_if_model_requires; not applied to engineered CSV,train
age_years,22.62012320328542,66.84462696783025,0.11370039958841344,winsorize_if_model_requires; not applied to engineered CSV,train
employment_years,0.31759069130732376,29.965776865160848,2.294253343796128,winsorize_if_model_requires; not applied to engineered CSV,train
annuity_credit_ratio,0.026457494517005468,0.11517157039061938,1.1170306449505,winsorize_if_model_requires; not applied to engineered CSV,train
income_per_person,17662.5,351000.0,205.173383249355,winsorize_if_model_requires; not applied to engineered CSV,train
credit_per_person,33750.0,1258650.0,1.9866059453090517,winsorize_if_model_requires; not applied to engineered CSV,train
children_ratio,0.0,0.6666666666666666,1.1386921159284586,winsorize_if_model_requires; not applied to engineered CSV,train
ext_source_mean,0.23179357090555988,0.7355610543118437,-0.4031315751714039,winsorize_if_model_requires; not applied to engineered CSV,train
ext_source_min,0.019914801998934983,0.6678479622165048,-0.45118543831880253,winsorize_if_model_requires; not applied to engineered CSV,train
ext_source_max,0.35932347216245875,0.8683707271562646,-0.233850334431173,winsorize_if_model_requires; not applied to engineered CSV,train
ext_source_std,0.015930349505844623,0.341299910051904,0.6091489980034994,winsorize_if_model_requires; not applied to engineered CSV,train
document_flag_sum,0.0,2.0,-1.0197413449402524,winsorize_if_model_requires; not applied to engineered CSV,train
contact_flag_sum,2.0,5.0,0.5567411772832521,winsorize_if_model_requires; not applied to engineered CSV,train
bureau_request_total,0.0,9.0,9.06794031686036,winsorize_if_model_requires; not applied to engineered CSV,train
log_AMT_INCOME_TOTAL,10.714439990727769,13.07527386630434,0.16688508312331005,winsorize_if_model_requires; not applied to engineered CSV,train
log_AMT_CREDIT,11.243881943848214,14.437592900567912,-0.33717632470346176,winsorize_if_model_requires; not applied to engineered CSV,train
log_AMT_ANNUITY,8.728264161496178,11.157269988482645,-0.3450513885585486,winsorize_if_model_requires; not applied to engineered CSV,train
log_AMT_GOODS_PRICE,11.119897691565697,14.403297778421795,-0.29236456773183556,winsorize_if_model_requires; not applied to engineered CSV,train
