column,feature_type,iv,iv_strength,bin_count,fit_split,notes
FLOORSMIN_AVG,numeric,0.015912575731223535,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
ENTRANCES_AVG,numeric,0.015910803285976043,not_predictive,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
LANDAREA_AVG,numeric,0.01590007359806758,not_predictive,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLOORSMIN_MEDI,numeric,0.015895756033510396,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
LANDAREA_MODE,numeric,0.0158507544348879,not_predictive,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
ENTRANCES_MEDI,numeric,0.015776923224605555,not_predictive,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
ENTRANCES_MODE,numeric,0.015387695796063881,not_predictive,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NAME_HOUSING_TYPE,categorical,0.015058001517306742,not_predictive,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
ELEVATORS_AVG,numeric,0.015028104177242315,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLOORSMIN_MODE,numeric,0.01488407706612818,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
ELEVATORS_MEDI,numeric,0.014565951306972144,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
DEF_30_CNT_SOCIAL_CIRCLE,numeric,0.014342306025496193,not_predictive,8,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NAME_CONTRACT_TYPE,categorical,0.014311114009414524,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
ELEVATORS_MODE,numeric,0.013742598439964247,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
DEF_60_CNT_SOCIAL_CIRCLE,numeric,0.013592898759635914,not_predictive,8,train,Screening metric only; no WOE replacement feature is generated in stage 3.
LIVE_CITY_NOT_WORK_CITY,numeric,0.013480500400740399,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_6,numeric,0.012805228477052264,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
LIVINGAPARTMENTS_MEDI,numeric,0.012640077655248425,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NONLIVINGAREA_MODE,numeric,0.012502606958641464,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
YEARS_BUILD_MODE,numeric,0.01248956965421522,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
LIVINGAPARTMENTS_AVG,numeric,0.012480787991796288,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
YEARS_BUILD_MEDI,numeric,0.012420429426419643,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
YEARS_BUILD_AVG,numeric,0.012401325297375584,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
LIVINGAPARTMENTS_MODE,numeric,0.012250761772563285,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FONDKAPREMONT_MODE,categorical,0.01180312421659204,not_predictive,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
credit_income_ratio,numeric,0.011778495909852452,not_predictive,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
COMMONAREA_MEDI,numeric,0.011108311536522435,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
AMT_INCOME_TOTAL,numeric,0.01106833864209859,not_predictive,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
log_AMT_INCOME_TOTAL,numeric,0.01106833864209859,not_predictive,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
COMMONAREA_MODE,numeric,0.010864169721242514,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
COMMONAREA_AVG,numeric,0.010597512063864336,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_WORK_PHONE,numeric,0.010306142121582543,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
HOUR_APPR_PROCESS_START,numeric,0.010216087400761477,not_predictive,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_PHONE,numeric,0.007673345585287834,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_OWN_CAR,categorical,0.007120538725631633,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
annuity_income_ratio,numeric,0.006708083156698251,not_predictive,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
AMT_REQ_CREDIT_BUREAU_QRT,numeric,0.006441807372951801,not_predictive,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
income_per_person,numeric,0.0038869289355100787,not_predictive,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_13,numeric,0.0032835576942640836,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
AMT_REQ_CREDIT_BUREAU_MON,numeric,0.0031754228534551132,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NONLIVINGAPARTMENTS_AVG,numeric,0.0031509614793870625,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NONLIVINGAPARTMENTS_MODE,numeric,0.0028458766208743283,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
CNT_FAM_MEMBERS,numeric,0.0028130203081076378,not_predictive,3,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NONLIVINGAPARTMENTS_MEDI,numeric,0.002765072954122653,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
children_ratio,numeric,0.0027367331585577406,not_predictive,3,train,Screening metric only; no WOE replacement feature is generated in stage 3.
OBS_60_CNT_SOCIAL_CIRCLE,numeric,0.0022163819396933877,not_predictive,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
OBS_30_CNT_SOCIAL_CIRCLE,numeric,0.0021904430135628247,not_predictive,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_16,numeric,0.0020350737614697177,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_8,numeric,0.0018680789766387842,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_14,numeric,0.0017150940138003327,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
CNT_CHILDREN,numeric,0.0015015099754444113,not_predictive,3,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NAME_TYPE_SUITE,categorical,0.0014792206887481517,not_predictive,8,train,Screening metric only; no WOE replacement feature is generated in stage 3.
bureau_request_total,numeric,0.0014464277921286642,not_predictive,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
AMT_REQ_CREDIT_BUREAU_YEAR,numeric,0.001144318581512814,not_predictive,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_18,numeric,0.001068116287503073,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
WEEKDAY_APPR_PROCESS_START,categorical,0.000995523918818001,not_predictive,7,train,Screening metric only; no WOE replacement feature is generated in stage 3.
REG_REGION_NOT_WORK_REGION,numeric,0.000920604260323416,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_15,numeric,0.0007631452213863498,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
LIVE_REGION_NOT_WORK_REGION,numeric,0.0004021307069316262,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_2,numeric,0.0003897223705278254,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_9,numeric,0.00038308909149498556,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
REG_REGION_NOT_LIVE_REGION,numeric,0.00035016676586378885,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_17,numeric,0.00022884170930682096,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
AMT_REQ_CREDIT_BUREAU_WEEK,numeric,0.00022808864863825638,not_predictive,9,train,Screening metric only; no WOE replacement feature is generated in stage 3.
AMT_REQ_CREDIT_BUREAU_DAY,numeric,0.00021393852289890378,not_predictive,9,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_11,numeric,0.00018814850984091267,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_OWN_REALTY,categorical,0.00012144706393153128,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_5,numeric,0.00011919438729527523,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
AMT_REQ_CREDIT_BUREAU_HOUR,numeric,0.00010380471568646664,not_predictive,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_4,numeric,7.627219074603864e-05,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_21,numeric,7.093265323593735e-05,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_EMAIL,numeric,4.5168136211200805e-05,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_MOBIL,numeric,2.8266962847270128e-05,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_7,numeric,2.4830467370634437e-05,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_12,numeric,1.3282331304642904e-05,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_CONT_MOBILE,numeric,2.4930150228878482e-06,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_10,numeric,1.4187625858912633e-06,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_19,numeric,1.1073477848180213e-06,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_20,numeric,3.788187208172219e-07,not_predictive,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
