column,role,dtype,train_unique_count,selected_for_feature_matrix,action,reason
REGION_RATING_CLIENT,numeric_feature,int64,3,True,keep,Candidate feature after leakage and stability review.
REGION_RATING_CLIENT_W_CITY,numeric_feature,int64,3,True,keep,Candidate feature after leakage and stability review.
WEEKDAY_APPR_PROCESS_START,categorical_feature,str,7,True,encode_later,Use OneHotEncoder fitted on train split.
HOUR_APPR_PROCESS_START,numeric_feature,int64,24,True,keep,Candidate feature after leakage and stability review.
REG_REGION_NOT_LIVE_REGION,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
REG_REGION_NOT_WORK_REGION,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
LIVE_REGION_NOT_WORK_REGION,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
REG_CITY_NOT_LIVE_CITY,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
REG_CITY_NOT_WORK_CITY,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
LIVE_CITY_NOT_WORK_CITY,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
ORGANIZATION_TYPE,categorical_feature,str,49,True,encode_later,Use OneHotEncoder fitted on train split.
EXT_SOURCE_1,numeric_feature,float64,84234,True,keep,Candidate feature after leakage and stability review.
EXT_SOURCE_2,numeric_feature,float64,102429,True,keep,Candidate feature after leakage and stability review.
EXT_SOURCE_3,numeric_feature,float64,807,True,keep,Candidate feature after leakage and stability review.
APARTMENTS_AVG,numeric_feature,float64,2210,True,keep,Candidate feature after leakage and stability review.
BASEMENTAREA_AVG,numeric_feature,float64,3627,True,keep,Candidate feature after leakage and stability review.
YEARS_BEGINEXPLUATATION_AVG,numeric_feature,float64,260,True,keep,Candidate feature after leakage and stability review.
YEARS_BUILD_AVG,numeric_feature,float64,148,True,keep,Candidate feature after leakage and stability review.
COMMONAREA_AVG,numeric_feature,float64,2948,True,keep,Candidate feature after leakage and stability review.
ELEVATORS_AVG,numeric_feature,float64,241,True,keep,Candidate feature after leakage and stability review.
ENTRANCES_AVG,numeric_feature,float64,272,True,keep,Candidate feature after leakage and stability review.
FLOORSMAX_AVG,numeric_feature,float64,364,True,keep,Candidate feature after leakage and stability review.
FLOORSMIN_AVG,numeric_feature,float64,280,True,keep,Candidate feature after leakage and stability review.
LANDAREA_AVG,numeric_feature,float64,3333,True,keep,Candidate feature after leakage and stability review.
LIVINGAPARTMENTS_AVG,numeric_feature,float64,1761,True,keep,Candidate feature after leakage and stability review.
LIVINGAREA_AVG,numeric_feature,float64,4988,True,keep,Candidate feature after leakage and stability review.
NONLIVINGAPARTMENTS_AVG,numeric_feature,float64,349,True,keep,Candidate feature after leakage and stability review.
NONLIVINGAREA_AVG,numeric_feature,float64,3041,True,keep,Candidate feature after leakage and stability review.
APARTMENTS_MODE,numeric_feature,float64,741,True,keep,Candidate feature after leakage and stability review.
BASEMENTAREA_MODE,numeric_feature,float64,3687,True,keep,Candidate feature after leakage and stability review.
YEARS_BEGINEXPLUATATION_MODE,numeric_feature,float64,210,True,keep,Candidate feature after leakage and stability review.
YEARS_BUILD_MODE,numeric_feature,float64,151,True,keep,Candidate feature after leakage and stability review.
COMMONAREA_MODE,numeric_feature,float64,2907,True,keep,Candidate feature after leakage and stability review.
ELEVATORS_MODE,numeric_feature,float64,26,True,keep,Candidate feature after leakage and stability review.
ENTRANCES_MODE,numeric_feature,float64,30,True,keep,Candidate feature after leakage and stability review.
FLOORSMAX_MODE,numeric_feature,float64,25,True,keep,Candidate feature after leakage and stability review.
FLOORSMIN_MODE,numeric_feature,float64,25,True,keep,Candidate feature after leakage and stability review.
LANDAREA_MODE,numeric_feature,float64,3378,True,keep,Candidate feature after leakage and stability review.
LIVINGAPARTMENTS_MODE,numeric_feature,float64,717,True,keep,Candidate feature after leakage and stability review.
LIVINGAREA_MODE,numeric_feature,float64,5068,True,keep,Candidate feature after leakage and stability review.
NONLIVINGAPARTMENTS_MODE,numeric_feature,float64,154,True,keep,Candidate feature after leakage and stability review.
NONLIVINGAREA_MODE,numeric_feature,float64,3076,True,keep,Candidate feature after leakage and stability review.
APARTMENTS_MEDI,numeric_feature,float64,1115,True,keep,Candidate feature after leakage and stability review.
BASEMENTAREA_MEDI,numeric_feature,float64,3619,True,keep,Candidate feature after leakage and stability review.
YEARS_BEGINEXPLUATATION_MEDI,numeric_feature,float64,231,True,keep,Candidate feature after leakage and stability review.
YEARS_BUILD_MEDI,numeric_feature,float64,148,True,keep,Candidate feature after leakage and stability review.
COMMONAREA_MEDI,numeric_feature,float64,2975,True,keep,Candidate feature after leakage and stability review.
ELEVATORS_MEDI,numeric_feature,float64,46,True,keep,Candidate feature after leakage and stability review.
ENTRANCES_MEDI,numeric_feature,float64,45,True,keep,Candidate feature after leakage and stability review.
FLOORSMAX_MEDI,numeric_feature,float64,48,True,keep,Candidate feature after leakage and stability review.
FLOORSMIN_MEDI,numeric_feature,float64,47,True,keep,Candidate feature after leakage and stability review.
LANDAREA_MEDI,numeric_feature,float64,3376,True,keep,Candidate feature after leakage and stability review.
LIVINGAPARTMENTS_MEDI,numeric_feature,float64,1068,True,keep,Candidate feature after leakage and stability review.
LIVINGAREA_MEDI,numeric_feature,float64,5062,True,keep,Candidate feature after leakage and stability review.
NONLIVINGAPARTMENTS_MEDI,numeric_feature,float64,196,True,keep,Candidate feature after leakage and stability review.
NONLIVINGAREA_MEDI,numeric_feature,float64,3071,True,keep,Candidate feature after leakage and stability review.
FONDKAPREMONT_MODE,categorical_feature,str,5,True,encode_later,Use OneHotEncoder fitted on train split.
HOUSETYPE_MODE,categorical_feature,str,4,True,encode_later,Use OneHotEncoder fitted on train split.
TOTALAREA_MODE,numeric_feature,float64,4910,True,keep,Candidate feature after leakage and stability review.
WALLSMATERIAL_MODE,categorical_feature,str,8,True,encode_later,Use OneHotEncoder fitted on train split.
EMERGENCYSTATE_MODE,categorical_feature,str,3,True,encode_later,Use OneHotEncoder fitted on train split.
OBS_30_CNT_SOCIAL_CIRCLE,numeric_feature,float64,33,True,keep,Candidate feature after leakage and stability review.
DEF_30_CNT_SOCIAL_CIRCLE,numeric_feature,float64,8,True,keep,Candidate feature after leakage and stability review.
OBS_60_CNT_SOCIAL_CIRCLE,numeric_feature,float64,32,True,keep,Candidate feature after leakage and stability review.
DEF_60_CNT_SOCIAL_CIRCLE,numeric_feature,float64,8,True,keep,Candidate feature after leakage and stability review.
DAYS_LAST_PHONE_CHANGE,numeric_feature,float64,3702,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_2,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_3,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_4,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_5,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_6,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_7,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_8,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_9,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_10,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_11,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_12,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_13,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_14,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_15,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_16,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_17,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_18,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_19,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_20,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_DOCUMENT_21,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
AMT_REQ_CREDIT_BUREAU_HOUR,numeric_feature,float64,5,True,keep,Candidate feature after leakage and stability review.
AMT_REQ_CREDIT_BUREAU_DAY,numeric_feature,float64,9,True,keep,Candidate feature after leakage and stability review.
AMT_REQ_CREDIT_BUREAU_WEEK,numeric_feature,float64,9,True,keep,Candidate feature after leakage and stability review.
AMT_REQ_CREDIT_BUREAU_MON,numeric_feature,float64,22,True,keep,Candidate feature after leakage and stability review.
AMT_REQ_CREDIT_BUREAU_QRT,numeric_feature,float64,10,True,keep,Candidate feature after leakage and stability review.
AMT_REQ_CREDIT_BUREAU_YEAR,numeric_feature,float64,22,True,keep,Candidate feature after leakage and stability review.
DAYS_EMPLOYED_ANOMALY,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
credit_income_ratio,numeric_feature,float64,39468,True,keep,Candidate feature after leakage and stability review.
annuity_income_ratio,numeric_feature,float64,72201,True,keep,Candidate feature after leakage and stability review.
goods_credit_ratio,numeric_feature,float64,2742,True,keep,Candidate feature after leakage and stability review.
employment_age_ratio,numeric_feature,float64,174969,True,keep,Candidate feature after leakage and stability review.
split,split,str,1,False,exclude,Fixed split marker; not a model feature.
age_years,derived_feature,float64,17379,True,keep,Stage 3 engineered business feature.
employment_years,derived_feature,float64,11815,True,keep,Stage 3 engineered business feature.
annuity_credit_ratio,derived_feature,float64,33479,True,keep,Stage 3 engineered business feature.
income_per_person,derived_feature,float64,2390,True,keep,Stage 3 engineered business feature.
credit_per_person,derived_feature,float64,11615,True,keep,Stage 3 engineered business feature.
children_ratio,derived_feature,float64,14,True,keep,Stage 3 engineered business feature.
ext_source_mean,derived_feature,float64,211207,True,keep,Stage 3 engineered business feature.
ext_source_min,derived_feature,float64,81784,True,keep,Stage 3 engineered business feature.
ext_source_max,derived_feature,float64,76100,True,keep,Stage 3 engineered business feature.
ext_source_std,derived_feature,float64,211207,True,keep,Stage 3 engineered business feature.
ext_source_count,feature,int64,1,False,exclude,Zero variance on train split.
document_flag_sum,derived_feature,int64,4,True,keep,Stage 3 engineered business feature.
contact_flag_sum,derived_feature,int64,6,True,keep,Stage 3 engineered business feature.
bureau_request_total,derived_feature,float64,29,True,keep,Stage 3 engineered business feature.
log_AMT_INCOME_TOTAL,derived_feature,float64,1969,True,keep,Stage 3 engineered business feature.
log_AMT_CREDIT,derived_feature,float64,5092,True,keep,Stage 3 engineered business feature.
log_AMT_ANNUITY,derived_feature,float64,12836,True,keep,Stage 3 engineered business feature.
log_AMT_GOODS_PRICE,derived_feature,float64,834,True,keep,Stage 3 engineered business feature.
