source_column,encoded_feature_name
WEEKDAY_APPR_PROCESS_START,WEEKDAY_APPR_PROCESS_START_WEDNESDAY
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Advertising
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Agriculture
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Bank
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Business Entity Type 1
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Business Entity Type 2
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Business Entity Type 3
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Construction
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Culture
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Electricity
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Emergency
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Government
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Hotel
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Housing
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Industry: type 1
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Industry: type 11
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Industry: type 12
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Industry: type 2
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Industry: type 3
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Industry: type 4
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Industry: type 5
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Industry: type 7
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Industry: type 9
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Insurance
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Kindergarten
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Medicine
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Military
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Mobile
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Other
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Police
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Postal
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Realtor
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Restaurant
ORGANIZATION_TYPE,ORGANIZATION_TYPE_School
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Security
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Security Ministries
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Self-employed
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Services
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Telecom
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Trade: type 1
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Trade: type 2
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Trade: type 3
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Trade: type 6
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Trade: type 7
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Transport: type 2
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Transport: type 3
ORGANIZATION_TYPE,ORGANIZATION_TYPE_Transport: type 4
ORGANIZATION_TYPE,ORGANIZATION_TYPE_University
ORGANIZATION_TYPE,ORGANIZATION_TYPE_XNA
ORGANIZATION_TYPE,ORGANIZATION_TYPE___RARE__
FONDKAPREMONT_MODE,FONDKAPREMONT_MODE___MISSING__
FONDKAPREMONT_MODE,FONDKAPREMONT_MODE_not specified
FONDKAPREMONT_MODE,FONDKAPREMONT_MODE_org spec account
FONDKAPREMONT_MODE,FONDKAPREMONT_MODE_reg oper account
FONDKAPREMONT_MODE,FONDKAPREMONT_MODE_reg oper spec account
HOUSETYPE_MODE,HOUSETYPE_MODE___MISSING__
HOUSETYPE_MODE,HOUSETYPE_MODE_block of flats
HOUSETYPE_MODE,HOUSETYPE_MODE_specific housing
HOUSETYPE_MODE,HOUSETYPE_MODE_terraced house
WALLSMATERIAL_MODE,WALLSMATERIAL_MODE_Block
WALLSMATERIAL_MODE,WALLSMATERIAL_MODE_Mixed
WALLSMATERIAL_MODE,WALLSMATERIAL_MODE_Monolithic
WALLSMATERIAL_MODE,WALLSMATERIAL_MODE_Others
WALLSMATERIAL_MODE,WALLSMATERIAL_MODE_Panel
WALLSMATERIAL_MODE,"WALLSMATERIAL_MODE_Stone, brick"
WALLSMATERIAL_MODE,WALLSMATERIAL_MODE_Wooden
WALLSMATERIAL_MODE,WALLSMATERIAL_MODE___MISSING__
EMERGENCYSTATE_MODE,EMERGENCYSTATE_MODE_No
EMERGENCYSTATE_MODE,EMERGENCYSTATE_MODE_Yes
EMERGENCYSTATE_MODE,EMERGENCYSTATE_MODE___MISSING__
