column,category,count,rate,is_rare,rare_threshold_count
WEEKDAY_APPR_PROCESS_START,TUESDAY,53901,0.17528153464428914,False,307
WEEKDAY_APPR_PROCESS_START,WEDNESDAY,51934,0.16888501549538065,False,307
WEEKDAY_APPR_PROCESS_START,MONDAY,50714,0.16491767774160923,False,307
WEEKDAY_APPR_PROCESS_START,THURSDAY,50591,0.1645176920500405,False,307
WEEKDAY_APPR_PROCESS_START,FRIDAY,50338,0.16369495725356167,False,307
WEEKDAY_APPR_PROCESS_START,SATURDAY,33852,0.11008386691858177,False,307
WEEKDAY_APPR_PROCESS_START,SUNDAY,16181,0.052619255896537036,False,307
ORGANIZATION_TYPE,Business Entity Type 3,67992,0.22110428570034893,False,307
ORGANIZATION_TYPE,XNA,55374,0.18007160719453938,False,307
ORGANIZATION_TYPE,Self-employed,38412,0.12491260475235032,False,307
ORGANIZATION_TYPE,Other,16683,0.05425171782472822,False,307
ORGANIZATION_TYPE,Medicine,11193,0.03639869793275688,False,307
ORGANIZATION_TYPE,Business Entity Type 2,10553,0.034317471570122694,False,307
ORGANIZATION_TYPE,Government,10404,0.03383293605757193,False,307
ORGANIZATION_TYPE,School,8893,0.028919290692040286,False,307
ORGANIZATION_TYPE,Trade: type 7,7831,0.02546575569654419,False,307
ORGANIZATION_TYPE,Kindergarten,6880,0.02237318339831746,False,307
ORGANIZATION_TYPE,Construction,6721,0.02185612872385053,False,307
ORGANIZATION_TYPE,Business Entity Type 1,5984,0.019459466490629605,False,307
ORGANIZATION_TYPE,Transport: type 4,5398,0.01755384360234268,False,307
ORGANIZATION_TYPE,Trade: type 3,3492,0.011355691341122756,False,307
ORGANIZATION_TYPE,Industry: type 9,3368,0.010952453733362384,False,307
ORGANIZATION_TYPE,Industry: type 3,3278,0.010659781276116952,False,307
ORGANIZATION_TYPE,Security,3247,0.010558971874176858,False,307
ORGANIZATION_TYPE,Housing,2958,0.009619168094799862,False,307
ORGANIZATION_TYPE,Industry: type 11,2704,0.008793181382129419,False,307
ORGANIZATION_TYPE,Military,2634,0.008565547248716306,False,307
ORGANIZATION_TYPE,Bank,2507,0.008152553892381086,False,307
ORGANIZATION_TYPE,Agriculture,2454,0.007980202334225443,False,307
ORGANIZATION_TYPE,Police,2341,0.007612735804572845,False,307
ORGANIZATION_TYPE,Transport: type 2,2204,0.007167223286321465,False,307
ORGANIZATION_TYPE,Postal,2157,0.007014383225315517,False,307
ORGANIZATION_TYPE,Security Ministries,1974,0.006419282562249806,False,307
ORGANIZATION_TYPE,Trade: type 2,1900,0.006178640764070228,False,307
ORGANIZATION_TYPE,Restaurant,1811,0.005889220223016412,False,307
ORGANIZATION_TYPE,Services,1575,0.005121768001795058,False,307
ORGANIZATION_TYPE,University,1327,0.004315292786274312,False,307
ORGANIZATION_TYPE,Industry: type 7,1307,0.004250254462441994,False,307
ORGANIZATION_TYPE,Transport: type 3,1187,0.003860024519448085,False,307
ORGANIZATION_TYPE,Industry: type 1,1039,0.0033787409230889302,False,307
ORGANIZATION_TYPE,Hotel,966,0.0031413510411009687,False,307
ORGANIZATION_TYPE,Electricity,950,0.003089320382035114,False,307
ORGANIZATION_TYPE,Industry: type 4,877,0.002851930500047153,False,307
ORGANIZATION_TYPE,Trade: type 6,631,0.002051959116909639,False,307
ORGANIZATION_TYPE,Industry: type 5,599,0.00194789779877793,False,307
ORGANIZATION_TYPE,Insurance,597,0.001941393966394698,False,307
ORGANIZATION_TYPE,Telecom,577,0.00187635564256238,False,307
ORGANIZATION_TYPE,Emergency,560,0.0018210730673049094,False,307
ORGANIZATION_TYPE,Industry: type 2,458,0.0014893776157600866,False,307
ORGANIZATION_TYPE,Advertising,429,0.0013950720462032253,False,307
ORGANIZATION_TYPE,Realtor,396,0.0012877588118799003,False,307
ORGANIZATION_TYPE,Culture,379,0.0012324762366224297,False,307
ORGANIZATION_TYPE,Industry: type 12,369,0.0011999570747062707,False,307
ORGANIZATION_TYPE,Trade: type 1,348,0.0011316668346823366,False,307
ORGANIZATION_TYPE,Mobile,317,0.0010308574327422433,False,307
ORGANIZATION_TYPE,Legal Services,305,0.0009918344384428524,True,307
ORGANIZATION_TYPE,Cleaning,260,0.0008454982098201365,True,307
ORGANIZATION_TYPE,Transport: type 1,201,0.0006536351545147978,True,307
ORGANIZATION_TYPE,Industry: type 6,112,0.0003642146134609819,True,307
ORGANIZATION_TYPE,Industry: type 10,109,0.00035445886488613416,True,307
ORGANIZATION_TYPE,Religion,85,0.00027641287628735233,True,307
ORGANIZATION_TYPE,Industry: type 13,67,0.00021787838483826595,True,307
ORGANIZATION_TYPE,Trade: type 4,64,0.0002081226362634182,True,307
ORGANIZATION_TYPE,Trade: type 5,49,0.00015934389338917958,True,307
ORGANIZATION_TYPE,Industry: type 8,24,7.804598859878183e-05,True,307
FONDKAPREMONT_MODE,__MISSING__,210295,0.6838617155158677,False,307
FONDKAPREMONT_MODE,reg oper account,73830,0.2400889724270026,False,307
FONDKAPREMONT_MODE,reg oper spec account,12080,0.03928314759472019,False,307
FONDKAPREMONT_MODE,not specified,5687,0.01849364738171968,False,307
FONDKAPREMONT_MODE,org spec account,5619,0.018272517080689797,False,307
HOUSETYPE_MODE,__MISSING__,154297,0.50176091261776,False,307
HOUSETYPE_MODE,block of flats,150503,0.4894231425867693,False,307
HOUSETYPE_MODE,specific housing,1499,0.004874622371232248,False,307
HOUSETYPE_MODE,terraced house,1212,0.003941322424238483,False,307
WALLSMATERIAL_MODE,__MISSING__,156341,0.508407829313423,False,307
WALLSMATERIAL_MODE,Panel,66040,0.21475654529431468,False,307
WALLSMATERIAL_MODE,"Stone, brick",64815,0.21077294795958518,False,307
WALLSMATERIAL_MODE,Block,9253,0.030089980521022013,False,307
WALLSMATERIAL_MODE,Wooden,5362,0.017436774619444508,False,307
WALLSMATERIAL_MODE,Mixed,2296,0.007466399575950129,False,307
WALLSMATERIAL_MODE,Monolithic,1779,0.005785158904884703,False,307
WALLSMATERIAL_MODE,Others,1625,0.005284363811375853,False,307
EMERGENCYSTATE_MODE,No,159428,0.5184464945969413,False,307
EMERGENCYSTATE_MODE,__MISSING__,145755,0.47398304450897694,False,307
EMERGENCYSTATE_MODE,Yes,2328,0.007570460894081837,False,307
