,count,mean,std,min,1%,5%,50%,95%,99%,max
LIVINGAPARTMENTS_AVG,97312.0,0.10077477495067412,0.0925761339604974,0.0,0.0034,0.0101,0.0756,0.2723,0.4539,1.0
LIVINGAREA_AVG,153161.0,0.10739901933259771,0.11056452318371336,0.0,0.0022,0.0082,0.0745,0.3205,0.5509,1.0
NONLIVINGAPARTMENTS_AVG,93997.0,0.008808672617211188,0.04773166205034794,0.0,0.0,0.0,0.0,0.0309,0.1081,1.0
NONLIVINGAREA_AVG,137829.0,0.02835775707579682,0.06952318332123605,0.0,0.0,0.0,0.0036,0.1279,0.3165,1.0
APARTMENTS_MODE,151450.0,0.11423100693298119,0.10793603908753287,0.0,0.0021,0.0084,0.084,0.3193,0.541,1.0
BASEMENTAREA_MODE,127568.0,0.08754321224758561,0.08430717486924559,0.0,0.0,0.0,0.0746,0.2277,0.3962,1.0
YEARS_BEGINEXPLUATATION_MODE,157504.0,0.9770653729429093,0.06457543708048018,0.0,0.9489,0.9682,0.9816,0.996,0.999,1.0
YEARS_BUILD_MODE,103023.0,0.7596373227337585,0.11011102734194828,0.0,0.3662,0.608,0.7648,0.9543,0.9869,1.0
COMMONAREA_MODE,92646.0,0.042553137750145714,0.07444452253839155,0.0,0.0,0.0,0.019,0.1532,0.3655550000000003,1.0
ELEVATORS_MODE,143620.0,0.07448973610917699,0.13225614415050652,0.0,0.0,0.0,0.0,0.3222,0.6042,1.0
ENTRANCES_MODE,152683.0,0.14519265864569075,0.10097698816024665,0.0,0.0345,0.0345,0.1379,0.3103,0.5172,1.0
FLOORSMAX_MODE,154491.0,0.2223150474784939,0.14370940659531573,0.0,0.0,0.0417,0.1667,0.4583,0.6667,1.0
FLOORSMIN_MODE,98869.0,0.22805849255074895,0.16115977149547595,0.0,0.0,0.0417,0.2083,0.5,0.7083,1.0
LANDAREA_MODE,124921.0,0.06495768445657656,0.08175027780843543,0.0,0.0,0.0,0.0458,0.1956,0.37888000000000177,1.0
LIVINGAPARTMENTS_MODE,97312.0,0.10564485674942452,0.09788044657879372,0.0,0.0028,0.011,0.0771,0.2948,0.4885,1.0
LIVINGAREA_MODE,153161.0,0.10597505043712172,0.11184526587783379,0.0,0.0019,0.0079,0.0731,0.3229999999999999,0.5616399999999994,1.0
NONLIVINGAPARTMENTS_MODE,93997.0,0.008076387544283328,0.046276266219835646,0.0,0.0,0.0,0.0,0.0272,0.0973,1.0
NONLIVINGAREA_MODE,137829.0,0.027022319685987714,0.07025385904394456,0.0,0.0,0.0,0.0011,0.1294,0.3221,1.0
APARTMENTS_MEDI,151450.0,0.11784992076592933,0.10907590600115313,0.0,0.0021,0.0083,0.0864,0.33,0.5501100000000093,1.0
BASEMENTAREA_MEDI,127568.0,0.08795485466574689,0.08217874951463416,0.0,0.0,0.0,0.0758,0.2231,0.3845,1.0
YEARS_BEGINEXPLUATATION_MEDI,157504.0,0.9777522640694839,0.05989731850511965,0.0,0.9493,0.9687,0.9816,0.996,0.999,1.0
YEARS_BUILD_MEDI,103023.0,0.7557462721916466,0.11206630964404388,0.0,0.3559,0.5975,0.7585,0.953,0.9866,1.0
COMMONAREA_MEDI,92646.0,0.04459510178529024,0.07614426224091465,0.0,0.0,0.0,0.0208,0.1609,0.3785550000000003,1.0
ELEVATORS_MEDI,143620.0,0.07807784431137725,0.13446714769067492,0.0,0.0,0.0,0.0,0.36,0.6,1.0
ENTRANCES_MEDI,152683.0,0.14921278072869934,0.10036839449763228,0.0,0.0345,0.0345,0.1379,0.3103,0.5172,1.0
FLOORSMAX_MEDI,154491.0,0.22589659009262678,0.14506702591935142,0.0,0.0,0.0417,0.1667,0.4792,0.6667,1.0
FLOORSMIN_MEDI,98869.0,0.23162493804933804,0.16193354145715616,0.0,0.0,0.0417,0.2083,0.5,0.7083,1.0
LANDAREA_MEDI,124921.0,0.06716874904939922,0.08216701028007205,0.0,0.0,0.0,0.0487,0.1976,0.3812800000000003,1.0
LIVINGAPARTMENTS_MEDI,97312.0,0.1019544732407103,0.09364233271153832,0.0,0.0034,0.0103,0.0761,0.277,0.4617,1.0
LIVINGAREA_MEDI,153161.0,0.10860673604899419,0.11226025867534761,0.0,0.0022,0.0083,0.0749,0.3255,0.558099999999997,1.0
NONLIVINGAPARTMENTS_MEDI,93997.0,0.008651013330212667,0.04741472790780269,0.0,0.0,0.0,0.0,0.0311,0.1048,1.0
NONLIVINGAREA_MEDI,137829.0,0.02823592059726182,0.07016648150682482,0.0,0.0,0.0,0.0031,0.1295,0.3212720000000001,1.0
TOTALAREA_MODE,159080.0,0.1025466626854413,0.10746232414961877,0.0,0.0016,0.0067,0.0688,0.3092,0.5258,1.0
OBS_30_CNT_SOCIAL_CIRCLE,306490.0,1.4222454239942575,2.400988746109008,0.0,0.0,0.0,0.0,6.0,10.0,348.0
DEF_30_CNT_SOCIAL_CIRCLE,306490.0,0.1434206662533851,0.4466984293815287,0.0,0.0,0.0,0.0,1.0,2.0,34.0
OBS_60_CNT_SOCIAL_CIRCLE,306490.0,1.4052921791901856,2.3798033519793806,0.0,0.0,0.0,0.0,6.0,10.0,344.0
DEF_60_CNT_SOCIAL_CIRCLE,306490.0,0.10004894123788705,0.3622908039755737,0.0,0.0,0.0,0.0,1.0,2.0,24.0
DAYS_LAST_PHONE_CHANGE,307510.0,-962.8587883320868,826.8084870406566,-4292.0,-3149.0,-2522.0,-757.0,0.0,0.0,0.0
FLAG_DOCUMENT_2,307511.0,4.2274910491006824e-05,0.006501789045489792,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_3,307511.0,0.7100233812774177,0.4537519684327392,0.0,0.0,0.0,1.0,1.0,1.0,1.0
FLAG_DOCUMENT_4,307511.0,8.129790479039775e-05,0.00901618321655089,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_5,307511.0,0.015114906458630749,0.12201022281354128,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FLAG_DOCUMENT_6,307511.0,0.0880553866365756,0.2833758928629899,0.0,0.0,0.0,0.0,1.0,1.0,1.0
FLAG_DOCUMENT_7,307511.0,0.00019186305530533867,0.01385015767701742,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_8,307511.0,0.08137595077899652,0.27341204894451304,0.0,0.0,0.0,0.0,1.0,1.0,1.0
FLAG_DOCUMENT_9,307511.0,0.00389579559755586,0.062294710800393685,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_10,307511.0,2.276341334131137e-05,0.004771055354069213,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_11,307511.0,0.003912055178513939,0.06242406326684518,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_12,307511.0,6.503832383231819e-06,0.0025502570915978662,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_13,307511.0,0.003525077151711646,0.05926771807375309,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_14,307511.0,0.0029364803210291664,0.054109767376428794,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_15,307511.0,0.0012097128232811183,0.034759938827692606,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_16,307511.0,0.009928100133003373,0.09914416233784908,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_17,307511.0,0.0002666571277125046,0.016327488741596615,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_18,307511.0,0.008129790479039774,0.08979823610939557,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_19,307511.0,0.0005951006630657115,0.024387465065862264,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_20,307511.0,0.0005072989258920819,0.02251762026844613,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_21,307511.0,0.0003349473677364387,0.01829853182243764,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_HOUR,265992.0,0.006402448193930645,0.08384912844747723,0.0,0.0,0.0,0.0,0.0,0.0,4.0
AMT_REQ_CREDIT_BUREAU_DAY,265992.0,0.0070002105326475985,0.11075740632435452,0.0,0.0,0.0,0.0,0.0,0.0,9.0
AMT_REQ_CREDIT_BUREAU_WEEK,265992.0,0.0343619356973142,0.2046848758128245,0.0,0.0,0.0,0.0,0.0,1.0,8.0
AMT_REQ_CREDIT_BUREAU_MON,265992.0,0.26739526000781977,0.9160023961526176,0.0,0.0,0.0,0.0,1.0,4.0,27.0
AMT_REQ_CREDIT_BUREAU_QRT,265992.0,0.26547414959848414,0.7940556483207578,0.0,0.0,0.0,0.0,2.0,2.0,261.0
AMT_REQ_CREDIT_BUREAU_YEAR,265992.0,1.899974435321363,1.869294998181557,0.0,0.0,0.0,1.0,6.0,8.0,25.0
DAYS_EMPLOYED_ANOMALY,307511.0,0.18007160719453938,0.38424771126230567,0.0,0.0,0.0,0.0,1.0,1.0,1.0
credit_income_ratio,307511.0,3.957570238062716,2.6897281854524793,0.004807615384615385,0.595365054945055,1.0,3.265066666666667,9.156738636363636,13.027280298009483,84.73684210526316
annuity_income_ratio,307499.0,0.18093001093586664,0.09457380109083656,0.00022388461538461538,0.03947363909774436,0.06263333333333333,0.16283333333333333,0.3546666666666667,0.4834584545454582,1.8759649122807018
goods_credit_ratio,307233.0,0.9006892906928781,0.09663036374711556,0.16666666666666666,0.6778741865509761,0.7163323782234957,0.8938148015731141,1.0,1.0,6.666666666666667
employment_age_ratio,252137.0,0.15686147329178662,0.13354862044651533,-0.0,0.007547549596214811,0.01512267156413517,0.11873294066944405,0.4422000504679488,0.5906004476554472,0.7288114904178704
